duration,pdays,emp.var.rate,euribor3m,nr.employed,y_n
157.0,999.0,1.4,4.97,5228.1,0.0
424.0,999.0,-0.1,4.12,5195.8,0.0
106.0,999.0,1.4,4.967,5228.1,0.0
71.0,999.0,1.4,4.864,5228.1,0.0
106.0,999.0,-1.8,1.344,5099.1,0.0
161.0,999.0,-1.8,1.266,5099.1,0.0
644.0,999.0,-3.4,0.731,5017.5,1.0
644.0,999.0,1.4,4.964,5228.1,1.0
312.0,999.0,1.4,4.964,5228.1,0.0
557.0,999.0,1.1,4.864,5191.0,0.0
406.0,999.0,-1.8,1.281,5099.1,0.0
618.0,999.0,1.4,4.959,5228.1,0.0
405.0,999.0,1.4,4.96,5228.1,0.0
218.0,999.0,1.4,4.961,5228.1,0.0
205.0,999.0,-0.1,4.076,5195.8,0.0
368.0,999.0,-1.8,0.655,5008.7,1.0
152.0,999.0,1.4,4.968,5228.1,0.0
193.0,999.0,-1.1,1.041,4963.6,0.0
339.0,999.0,-3.4,0.773,5017.5,0.0
202.0,999.0,-0.1,4.12,5195.8,0.0
644.0,999.0,1.1,4.857,5191.0,0.0
554.0,999.0,-1.8,1.405,5099.1,0.0
83.0,999.0,1.1,4.857,5191.0,0.0
22.0,999.0,1.1,4.857,5191.0,0.0
222.0,999.0,1.4,4.968,5228.1,0.0
130.0,999.0,-1.8,1.27,5099.1,0.0
238.0,999.0,-1.8,1.405,5099.1,0.0
72.0,999.0,-1.8,1.405,5099.1,0.0
236.0,999.0,-0.1,4.191,5195.8,0.0
305.0,999.0,1.4,4.866,5228.1,0.0
552.0,999.0,-0.1,4.021,5195.8,0.0
439.0,999.0,-1.8,1.479,5099.1,0.0
304.0,3.0,-1.1,1.032,4963.6,1.0
97.0,999.0,1.4,4.865,5228.1,0.0
207.0,999.0,-3.4,0.813,5017.5,0.0
168.0,999.0,1.1,4.857,5191.0,0.0
69.0,999.0,1.4,4.962,5228.1,0.0
237.0,999.0,1.4,4.961,5228.1,0.0
205.0,999.0,1.1,4.858,5191.0,0.0
294.0,2.0,-1.8,1.365,5099.1,1.0
101.0,999.0,1.1,4.856,5191.0,0.0
73.0,999.0,-0.1,4.076,5195.8,0.0
44.0,999.0,1.1,4.858,5191.0,0.0
527.0,999.0,-1.8,1.291,5099.1,0.0
129.0,999.0,1.4,4.963,5228.1,0.0
164.0,999.0,-0.1,4.12,5195.8,0.0
247.0,999.0,1.1,4.857,5191.0,0.0
424.0,999.0,1.4,4.961,5228.1,0.0
140.0,999.0,1.4,4.866,5228.1,0.0
644.0,999.0,1.4,4.961,5228.1,0.0
164.0,999.0,1.4,4.967,5228.1,0.0
173.0,999.0,1.4,4.968,5228.1,0.0
144.0,999.0,1.4,4.864,5228.1,0.0
644.0,999.0,-1.1,0.876,4963.6,1.0
176.0,999.0,1.4,4.964,5228.1,0.0
199.0,999.0,-3.4,0.715,5017.5,1.0
467.0,999.0,1.4,4.964,5228.1,1.0
92.0,999.0,1.4,4.961,5228.1,0.0
231.0,999.0,1.4,4.962,5228.1,0.0
158.0,999.0,1.1,4.864,5191.0,0.0
60.0,999.0,1.1,4.856,5191.0,0.0
507.0,999.0,1.4,4.966,5228.1,1.0
278.0,999.0,1.4,4.957,5228.1,1.0
409.0,999.0,1.4,4.864,5228.1,0.0
121.0,999.0,-1.8,1.365,5099.1,0.0
98.0,3.0,-1.8,1.354,5099.1,0.0
211.0,999.0,1.1,4.856,5191.0,0.0
76.0,999.0,1.4,4.962,5228.1,0.0
211.0,999.0,1.1,4.857,5191.0,0.0
164.0,3.0,-1.8,0.668,5008.7,1.0
222.0,999.0,1.4,4.866,5228.1,0.0
266.0,999.0,1.4,4.963,5228.1,0.0
198.0,999.0,-1.8,1.313,5099.1,0.0
644.0,999.0,-1.8,1.327,5099.1,1.0
66.0,999.0,1.4,4.965,5228.1,0.0
220.0,999.0,1.4,4.963,5228.1,0.0
184.0,999.0,-0.1,4.12,5195.8,0.0
132.0,999.0,1.1,4.855,5191.0,0.0
140.0,999.0,1.4,4.865,5228.1,0.0
185.0,999.0,-1.8,1.405,5099.1,0.0
329.0,999.0,1.4,4.962,5228.1,0.0
147.0,999.0,-1.8,1.365,5099.1,0.0
26.0,999.0,1.4,4.866,5228.1,0.0
97.0,999.0,-2.9,1.281,5076.2,0.0
50.0,999.0,1.4,4.959,5228.1,0.0
139.0,999.0,1.4,4.963,5228.1,0.0
644.0,999.0,1.4,4.967,5228.1,1.0
251.0,999.0,1.1,4.864,5191.0,0.0
644.0,999.0,1.4,4.963,5228.1,0.0
189.0,999.0,1.4,4.958,5228.1,0.0
84.0,999.0,1.1,4.859,5191.0,0.0
24.0,999.0,1.1,4.855,5191.0,0.0
244.0,999.0,-0.1,4.12,5195.8,0.0
289.0,999.0,1.4,4.963,5228.1,0.0
80.0,999.0,-0.1,4.076,5195.8,0.0
143.0,999.0,-1.1,0.982,4963.6,0.0
519.0,999.0,-1.8,1.334,5099.1,1.0
410.0,999.0,-3.0,0.708,5023.5,1.0
376.0,999.0,-1.8,1.453,5099.1,0.0
644.0,999.0,1.1,4.859,5191.0,1.0
218.0,999.0,-1.8,1.405,5099.1,0.0
644.0,999.0,1.4,4.864,5228.1,0.0
87.0,999.0,-1.8,1.313,5099.1,0.0
581.0,999.0,1.4,4.964,5228.1,1.0
77.0,999.0,1.4,4.962,5228.1,0.0
237.0,999.0,1.4,4.964,5228.1,0.0
51.0,999.0,1.4,4.968,5228.1,0.0
277.0,999.0,1.1,4.859,5191.0,0.0
145.0,999.0,1.4,4.961,5228.1,0.0
644.0,999.0,1.4,4.962,5228.1,0.0
147.0,999.0,1.4,4.958,5228.1,0.0
138.0,999.0,1.4,4.957,5228.1,0.0
200.0,999.0,1.1,4.855,5191.0,0.0
214.0,999.0,1.4,4.968,5228.1,0.0
508.0,999.0,-0.1,4.191,5195.8,0.0
268.0,999.0,-0.1,4.663,5195.8,1.0
130.0,999.0,-1.8,1.281,5099.1,0.0
299.0,999.0,1.1,4.859,5191.0,0.0
155.0,999.0,1.4,4.963,5228.1,0.0
99.0,999.0,1.1,4.857,5191.0,0.0
286.0,999.0,1.4,4.96,5228.1,0.0
285.0,999.0,1.4,4.963,5228.1,0.0
117.0,999.0,1.4,4.963,5228.1,0.0
108.0,999.0,-3.4,0.724,5017.5,0.0
40.0,999.0,-0.1,4.076,5195.8,0.0
187.0,999.0,1.1,4.859,5191.0,0.0
67.0,999.0,1.4,4.965,5228.1,0.0
224.0,999.0,1.1,4.857,5191.0,0.0
51.0,999.0,-1.8,1.299,5099.1,0.0
108.0,999.0,1.4,4.962,5228.1,0.0
231.0,999.0,-0.1,4.153,5195.8,0.0
133.0,999.0,1.1,4.856,5191.0,0.0
90.0,999.0,1.4,4.968,5228.1,0.0
150.0,999.0,1.4,4.966,5228.1,0.0
150.0,999.0,-0.1,4.021,5195.8,0.0
103.0,999.0,-1.8,1.415,5099.1,0.0
219.0,999.0,1.4,4.967,5228.1,0.0
79.0,999.0,-0.1,4.191,5195.8,0.0
644.0,999.0,1.1,4.864,5191.0,0.0
318.0,999.0,1.4,4.965,5228.1,0.0
178.0,999.0,1.4,4.97,5228.1,0.0
192.0,999.0,-2.9,1.266,5076.2,0.0
644.0,999.0,1.1,4.855,5191.0,0.0
301.0,999.0,-1.8,1.365,5099.1,1.0
363.0,999.0,1.1,4.864,5191.0,0.0
244.0,999.0,-0.1,4.12,5195.8,0.0
162.0,3.0,-2.9,0.879,5076.2,0.0
306.0,999.0,1.4,4.963,5228.1,0.0
294.0,999.0,1.4,4.968,5228.1,0.0
335.0,999.0,1.1,4.859,5191.0,0.0
281.0,3.0,-3.4,0.797,5017.5,1.0
190.0,999.0,-1.8,1.479,5099.1,0.0
192.0,999.0,-1.8,1.291,5099.1,0.0
220.0,999.0,1.4,4.962,5228.1,0.0
192.0,999.0,-1.8,1.244,5099.1,0.0
113.0,999.0,-1.8,1.266,5099.1,0.0
47.0,999.0,-0.1,4.12,5195.8,0.0
296.0,999.0,1.4,4.968,5228.1,0.0
237.0,999.0,1.4,4.959,5228.1,0.0
221.0,999.0,1.4,4.963,5228.1,0.0
309.0,999.0,-1.8,1.313,5099.1,0.0
18.0,999.0,-0.2,3.669,5176.3,0.0
644.0,999.0,-0.1,4.076,5195.8,1.0
294.0,999.0,-1.8,1.405,5099.1,0.0
290.0,999.0,1.1,4.857,5191.0,0.0
181.0,999.0,1.1,4.857,5191.0,0.0
108.0,999.0,1.4,4.966,5228.1,0.0
79.0,999.0,1.4,4.964,5228.1,0.0
219.0,999.0,1.1,4.86,5191.0,0.0
121.0,999.0,1.4,4.96,5228.1,0.0
141.0,999.0,1.4,4.962,5228.1,0.0
122.0,999.0,1.1,4.855,5191.0,0.0
153.0,999.0,1.4,4.958,5228.1,0.0
99.0,999.0,-0.1,4.153,5195.8,0.0
18.0,999.0,1.4,4.968,5228.1,0.0
227.0,999.0,1.1,4.856,5191.0,0.0
190.0,999.0,-1.8,1.405,5099.1,0.0
209.0,999.0,1.1,4.855,5191.0,0.0
340.0,999.0,1.4,4.965,5228.1,0.0
25.0,999.0,1.4,4.959,5228.1,0.0
112.0,999.0,1.1,4.856,5191.0,0.0
119.0,999.0,-0.1,4.153,5195.8,0.0
282.0,6.0,-3.0,0.706,5023.5,1.0
53.0,999.0,-1.8,1.405,5099.1,0.0
146.0,999.0,-1.8,1.313,5099.1,0.0
67.0,999.0,1.4,4.958,5228.1,0.0
287.0,999.0,-0.1,4.12,5195.8,0.0
316.0,999.0,-1.7,0.881,4991.6,1.0
515.0,999.0,1.4,4.963,5228.1,0.0
71.0,999.0,-1.8,1.687,5099.1,1.0
140.0,999.0,-1.8,1.313,5099.1,0.0
107.0,999.0,-0.1,4.191,5195.8,0.0
214.0,999.0,1.4,4.865,5228.1,0.0
182.0,999.0,1.1,4.857,5191.0,0.0
105.0,999.0,-1.8,1.244,5099.1,0.0
179.0,999.0,-0.1,4.076,5195.8,0.0
94.0,999.0,1.4,4.966,5228.1,0.0
174.0,999.0,1.4,4.962,5228.1,0.0
55.0,999.0,-0.1,4.153,5195.8,0.0
11.0,999.0,-1.8,1.266,5099.1,0.0
590.0,999.0,1.4,4.961,5228.1,0.0
72.0,999.0,1.1,4.856,5191.0,0.0
47.0,999.0,-1.8,1.334,5099.1,0.0
168.0,999.0,1.1,4.857,5191.0,0.0
127.0,999.0,1.4,4.964,5228.1,0.0
5.0,999.0,1.4,4.968,5228.1,0.0
607.0,999.0,-1.8,0.653,5008.7,1.0
305.0,999.0,1.4,4.957,5228.1,0.0
318.0,999.0,1.4,4.961,5228.1,0.0
91.0,999.0,-1.8,1.266,5099.1,0.0
96.0,999.0,-2.9,0.879,5076.2,0.0
98.0,999.0,-0.1,4.12,5195.8,0.0
71.0,999.0,1.1,4.859,5191.0,0.0
644.0,999.0,1.4,4.959,5228.1,0.0
162.0,999.0,-1.1,1.046,4963.6,0.0
94.0,999.0,1.4,4.962,5228.1,0.0
278.0,999.0,-0.1,4.12,5195.8,0.0
128.0,999.0,-2.9,1.262,5076.2,0.0
121.0,999.0,-1.8,1.25,5099.1,0.0
164.0,999.0,1.4,4.961,5228.1,0.0
64.0,999.0,1.4,4.959,5228.1,0.0
644.0,999.0,-1.8,1.453,5099.1,0.0
137.0,999.0,-1.8,1.334,5099.1,0.0
644.0,999.0,1.4,4.963,5228.1,1.0
125.0,999.0,1.4,4.965,5228.1,0.0
141.0,999.0,1.1,4.857,5191.0,0.0
253.0,999.0,-1.8,1.405,5099.1,0.0
425.0,999.0,1.4,4.962,5228.1,0.0
255.0,999.0,1.4,4.957,5228.1,0.0
17.0,999.0,1.4,4.864,5228.1,0.0
425.0,999.0,-0.1,4.076,5195.8,0.0
74.0,999.0,-2.9,1.029,5076.2,0.0
220.0,999.0,-0.1,4.191,5195.8,0.0
114.0,999.0,1.4,4.959,5228.1,0.0
29.0,999.0,1.4,4.959,5228.1,0.0
525.0,999.0,1.4,4.957,5228.1,0.0
236.0,999.0,-1.8,1.365,5099.1,0.0
501.0,999.0,1.4,4.967,5228.1,1.0
155.0,999.0,1.4,4.964,5228.1,0.0
117.0,999.0,1.1,4.859,5191.0,0.0
104.0,999.0,1.4,4.964,5228.1,0.0
127.0,999.0,1.4,4.962,5228.1,0.0
156.0,999.0,-2.9,0.861,5076.2,0.0
501.0,999.0,1.4,4.961,5228.1,0.0
70.0,999.0,1.4,4.963,5228.1,0.0
171.0,999.0,1.1,4.857,5191.0,0.0
183.0,999.0,-1.8,1.405,5099.1,0.0
208.0,999.0,1.1,4.86,5191.0,0.0
189.0,999.0,1.1,4.857,5191.0,0.0
432.0,999.0,1.4,4.967,5228.1,0.0
359.0,999.0,-2.9,0.834,5076.2,0.0
24.0,999.0,-1.8,1.291,5099.1,0.0
145.0,999.0,-1.8,1.405,5099.1,0.0
407.0,3.0,-1.1,0.877,4963.6,0.0
258.0,3.0,-1.1,1.043,4963.6,1.0
188.0,999.0,-1.8,1.299,5099.1,0.0
167.0,999.0,1.4,4.958,5228.1,0.0
644.0,999.0,1.4,4.957,5228.1,1.0
225.0,999.0,-1.8,1.415,5099.1,0.0
111.0,999.0,1.4,4.96,5228.1,0.0
121.0,999.0,1.4,4.963,5228.1,0.0
181.0,999.0,1.1,4.857,5191.0,0.0
385.0,999.0,-1.8,1.25,5099.1,0.0
145.0,999.0,-0.1,4.153,5195.8,0.0
126.0,999.0,-1.8,1.244,5099.1,0.0
165.0,999.0,1.4,4.962,5228.1,0.0
256.0,999.0,1.4,4.963,5228.1,0.0
644.0,999.0,1.4,4.963,5228.1,1.0
644.0,999.0,-1.8,1.313,5099.1,0.0
195.0,999.0,-1.1,0.977,4963.6,0.0
73.0,999.0,1.4,4.962,5228.1,0.0
438.0,999.0,1.4,4.963,5228.1,0.0
344.0,999.0,-1.1,1.041,4963.6,1.0
244.0,999.0,-1.8,1.415,5099.1,0.0
170.0,999.0,-1.8,1.299,5099.1,0.0
108.0,999.0,1.1,4.864,5191.0,0.0
644.0,999.0,1.1,4.864,5191.0,1.0
644.0,999.0,1.4,4.962,5228.1,1.0
231.0,999.0,1.4,4.962,5228.1,0.0
155.0,999.0,1.1,4.86,5191.0,0.0
114.0,999.0,1.4,4.961,5228.1,0.0
643.0,999.0,-1.8,1.354,5099.1,1.0
116.0,999.0,1.4,4.964,5228.1,0.0
644.0,999.0,1.4,4.962,5228.1,0.0
287.0,999.0,1.4,4.961,5228.1,0.0
88.0,999.0,1.1,4.859,5191.0,0.0
644.0,999.0,-1.8,1.41,5099.1,0.0
558.0,999.0,1.4,4.958,5228.1,0.0
187.0,999.0,-0.1,4.12,5195.8,0.0
190.0,999.0,1.1,4.856,5191.0,0.0
16.0,999.0,1.1,4.856,5191.0,0.0
65.0,999.0,-0.1,4.076,5195.8,0.0
209.0,999.0,1.1,4.857,5191.0,0.0
443.0,999.0,1.4,4.962,5228.1,0.0
195.0,999.0,-0.1,4.021,5195.8,0.0
236.0,999.0,1.1,4.857,5191.0,0.0
294.0,999.0,-1.8,1.281,5099.1,0.0
95.0,999.0,1.1,4.859,5191.0,0.0
612.0,999.0,-1.8,1.264,5099.1,1.0
190.0,999.0,-1.8,1.354,5099.1,0.0
150.0,999.0,-2.9,1.26,5076.2,0.0
268.0,999.0,-0.1,4.076,5195.8,0.0
232.0,999.0,1.1,4.855,5191.0,0.0
334.0,999.0,1.1,4.856,5191.0,0.0
141.0,999.0,1.4,4.96,5228.1,0.0
497.0,999.0,1.4,4.963,5228.1,0.0
604.0,999.0,-1.1,0.959,4963.6,0.0
187.0,999.0,1.4,4.967,5228.1,0.0
163.0,999.0,1.4,4.96,5228.1,0.0
83.0,999.0,1.4,4.957,5228.1,0.0
195.0,999.0,1.4,4.964,5228.1,0.0
435.0,999.0,1.4,4.968,5228.1,0.0
133.0,999.0,-2.9,0.838,5076.2,0.0
96.0,999.0,1.4,4.964,5228.1,0.0
263.0,999.0,1.4,4.864,5228.1,0.0
281.0,999.0,1.4,4.959,5228.1,0.0
644.0,999.0,1.4,4.955,5228.1,0.0
644.0,999.0,1.4,4.961,5228.1,0.0
644.0,999.0,-0.1,4.021,5195.8,0.0
293.0,999.0,-1.1,1.03,4963.6,0.0
158.0,3.0,-1.8,0.653,5008.7,0.0
206.0,999.0,1.1,4.864,5191.0,0.0
140.0,999.0,-1.8,1.405,5099.1,0.0
644.0,999.0,1.1,4.864,5191.0,1.0
126.0,999.0,1.4,4.963,5228.1,0.0
127.0,999.0,1.1,4.857,5191.0,0.0
427.0,999.0,1.1,4.859,5191.0,0.0
231.0,999.0,-1.8,1.334,5099.1,0.0
260.0,999.0,1.1,4.856,5191.0,0.0
347.0,999.0,1.1,4.859,5191.0,0.0
304.0,999.0,-1.8,1.453,5099.1,0.0
221.0,999.0,1.4,4.96,5228.1,0.0
230.0,999.0,1.1,4.857,5191.0,0.0
137.0,999.0,-1.8,1.687,5099.1,0.0
180.0,999.0,1.1,4.856,5191.0,0.0
270.0,999.0,1.4,4.965,5228.1,0.0
267.0,999.0,1.1,4.857,5191.0,0.0
332.0,999.0,-0.1,4.12,5195.8,0.0
135.0,999.0,-1.8,1.27,5099.1,0.0
202.0,999.0,1.1,4.855,5191.0,0.0
157.0,999.0,-1.8,1.313,5099.1,0.0
350.0,999.0,1.1,4.857,5191.0,0.0
644.0,999.0,-2.9,1.262,5076.2,0.0
96.0,999.0,-0.1,4.076,5195.8,0.0
90.0,999.0,1.4,4.961,5228.1,0.0
437.0,999.0,1.4,4.961,5228.1,0.0
186.0,999.0,1.4,4.962,5228.1,0.0
90.0,999.0,-1.8,1.264,5099.1,0.0
296.0,999.0,1.1,4.856,5191.0,0.0
370.0,999.0,-0.1,4.076,5195.8,0.0
120.0,999.0,1.4,4.962,5228.1,0.0
124.0,999.0,1.4,4.866,5228.1,0.0
258.0,999.0,-1.8,1.365,5099.1,0.0
526.0,999.0,-1.8,1.281,5099.1,1.0
644.0,999.0,1.4,4.961,5228.1,0.0
303.0,999.0,1.4,4.962,5228.1,0.0
122.0,999.0,-1.8,1.405,5099.1,0.0
600.0,999.0,1.1,4.857,5191.0,0.0
313.0,999.0,1.1,4.859,5191.0,0.0
110.0,999.0,1.1,4.855,5191.0,0.0
111.0,999.0,1.1,4.857,5191.0,0.0
218.0,999.0,1.1,4.859,5191.0,0.0
183.0,999.0,1.4,4.864,5228.1,0.0
257.0,999.0,-1.8,1.299,5099.1,0.0
644.0,999.0,1.4,4.959,5228.1,1.0
522.0,999.0,1.4,4.963,5228.1,0.0
173.0,999.0,1.1,4.86,5191.0,0.0
36.0,999.0,1.4,4.963,5228.1,0.0
132.0,999.0,-1.8,1.266,5099.1,0.0
240.0,999.0,1.1,4.858,5191.0,0.0
40.0,999.0,-1.8,1.299,5099.1,0.0
48.0,999.0,-0.1,4.191,5195.8,0.0
107.0,999.0,-0.1,4.153,5195.8,0.0
240.0,999.0,-1.8,1.405,5099.1,0.0
218.0,999.0,1.4,4.965,5228.1,0.0
122.0,999.0,1.4,4.97,5228.1,0.0
203.0,999.0,1.1,4.857,5191.0,0.0
36.0,999.0,1.4,4.96,5228.1,0.0
104.0,6.0,-1.8,1.344,5099.1,0.0
134.0,999.0,1.4,4.967,5228.1,0.0
119.0,999.0,-1.7,0.822,4991.6,0.0
644.0,999.0,-1.8,1.405,5099.1,0.0
76.0,999.0,-1.8,1.25,5099.1,0.0
166.0,999.0,-1.8,1.291,5099.1,0.0
195.0,999.0,1.4,4.963,5228.1,0.0
270.0,999.0,1.4,4.958,5228.1,0.0
326.0,999.0,1.1,4.858,5191.0,0.0
119.0,999.0,1.4,4.964,5228.1,0.0
101.0,999.0,1.1,4.86,5191.0,0.0
355.0,999.0,-1.7,0.84,4991.6,1.0
112.0,999.0,-2.9,1.26,5076.2,1.0
107.0,999.0,-1.8,1.405,5099.1,1.0
51.0,999.0,1.4,4.968,5228.1,0.0
69.0,999.0,1.4,4.958,5228.1,0.0
269.0,999.0,-1.8,1.556,5099.1,1.0
108.0,999.0,-1.8,1.405,5099.1,0.0
567.0,999.0,-1.8,1.365,5099.1,1.0
227.0,999.0,1.4,4.866,5228.1,0.0
113.0,999.0,-3.4,0.728,5017.5,1.0
148.0,999.0,1.4,4.968,5228.1,0.0
333.0,999.0,-1.8,1.25,5099.1,0.0
76.0,999.0,-1.8,1.405,5099.1,1.0
120.0,999.0,-1.8,1.811,5099.1,1.0
86.0,999.0,-1.8,1.415,5099.1,0.0
76.0,999.0,1.4,4.968,5228.1,0.0
96.0,999.0,-1.8,1.327,5099.1,0.0
560.0,999.0,1.4,4.963,5228.1,1.0
